fecha,planta,linea_produccion,turno,operario,supervisor,etapa_proceso,tipo_producto,talla,color,unidades_producidas,tela_utilizada_m2,tiempo_operacion_min,tiempo_paro_min,costo_tela_m2_usd,costo_unitario_usd,unidades_defectuosas,unidades_retrabajo,tela_desperdiciada_m2,costo_desperdicio_usd,tipo_defecto,causa_raiz,porcentaje_defectos,porcentaje_merma_tela,eficiencia_linea,CRITICIDAD
3/15/2026,Planta A,L2,Noche,Billie Dower,Wilfred Raselles,Acabado,Premium,XL,Negro,231,71,201,74,3,12,73,24,9.96,905.88,Mancha,Error humano,0.0,0.1403,1.0,Bajo
3/10/2026,Planta C,L6,Tarde,Minta Ghione,Ruben Wombwell,Acabado,Deportiva,S,Blanco,389,262,96,2,3,7,53,30,17.67,424.01,Mancha,Materia prima defectuosa,0.0,0.0674,4.0,Bajo
3/6/2026,Planta B,L8,Noche,Iosep Baile,Lorrin Cossam,Acabado,Deportiva,XL,Blanco,298,218,390,102,4,16,64,30,8.64,1058.56,Costura defectuosa,Falla maquina,0.0,0.0396,0.0,Critico
3/26/2026,Planta B,L6,Tarde,Jessalin Schultheiss,Marietta Cosbey,Costura,Basica,M,Gris,161,183,318,58,4,22,32,22,29.31,821.24,Medida incorrecta,Error humano,0.0,0.1602,0.0,Bajo
3/28/2026,Planta B,L7,Noche,Broderic Culwen,Zara Ternouth,Calidad,Basica,XL,Rojo,439,158,224,108,6,15,141,73,23.71,2257.26,Tela danada,Proceso ineficiente,0.0,0.1501,1.0,Critico
3/25/2026,Planta B,L7,Tarde,Hubie Anthon,Aldous Di Lucia,Acabado,Basica,S,Rojo,422,215,322,41,5,7,55,35,14.36,456.8,Corte incorrecto,Falla maquina,0.0,0.0668,1.0,Bajo
3/27/2026,Planta A,L3,Tarde,Gonzales Sample,Cary Eichmann,Acabado,Deportiva,S,Blanco,248,170,363,110,6,11,13,27,12.08,215.48,Medida incorrecta,Proceso ineficiente,0.0,0.0711,0.0,Critico
3/14/2026,Planta B,L8,Noche,Clarine Pagon,Arline Simao,Costura,Basica,S,Negro,471,159,136,114,3,20,211,48,8.91,4246.73,Mancha,Falla maquina,0.0,0.056,3.0,Critico
3/8/2026,Planta C,L8,Dia,Kent Klouz,Brett Chippindale,Calidad,Deportiva,M,Negro,133,127,360,86,3,18,15,17,18.84,326.52,Mancha,Materia prima defectuosa,0.0,0.1483,0.0,Bajo
3/8/2026,Planta B,L3,Noche,Worthington Veltman,Glenna Sokale,Acabado,Basica,M,Negro,334,265,156,94,6,9,105,41,27.7,1111.2,Corte incorrecto,Falla maquina,0.0,0.1045,2.0,Critico
3/3/2026,Planta B,L9,Dia,Kameko Scanterbury,Clarette Brownjohn,Corte,Basica,S,Blanco,122,113,214,75,5,19,21,17,44.47,621.35,Medida incorrecta,Error humano,0.0,0.3935,0.0,Bajo
3/11/2026,Planta B,L8,Tarde,Gavrielle Castri,Alica Tosh,Acabado,Basica,S,Gris,257,209,198,56,5,22,64,35,18.4,1500.0,Medida incorrecta,Materia prima defectuosa,0.0,0.088,1.0,Bajo
3/17/2026,Planta B,L9,Tarde,Thorndike Bourhill,Ravid Mengo,Costura,Premium,L,Azul,355,228,245,57,8,10,83,52,40.22,1151.76,Tela danada,Error humano,0.0,0.1764,1.0,Bajo
3/15/2026,Planta B,L2,Tarde,Micaela Korb,Melissa Carnegy,Calidad,Deportiva,XL,Rojo,178,104,411,110,2,16,19,29,4.62,313.24,Mancha,Falla maquina,0.0,0.0444,0.0,Critico
3/2/2026,Planta C,L2,Noche,Henrik Slimming,Marrilee Mattke,Costura,Basica,XL,Rojo,257,155,104,8,6,16,84,23,16.95,1445.7,Mancha,Falla maquina,0.0,0.1094,2.0,Bajo
3/27/2026,Planta C,L4,Dia,Araldo Corston,Aile Cornillot,Acabado,Basica,M,Rojo,230,261,240,10,8,11,24,41,18.11,408.88,Mancha,Falla maquina,0.0,0.0694,0.0,Bajo
3/3/2026,Planta A,L3,Tarde,Angela Treamayne,Orazio Woodison,Corte,Deportiva,M,Blanco,479,134,166,7,2,5,74,40,42.05,454.1,Tela danada,Error humano,0.0,0.3138,2.0,Bajo
3/15/2026,Planta C,L3,Noche,Clareta Troup,Graham Piegrome,Acabado,Deportiva,L,Gris,98,67,430,5,8,8,33,16,11.7,357.6,Medida incorrecta,Error humano,0.0,0.1746,0.0,Bajo
3/18/2026,Planta C,L9,Tarde,Jackelyn Wainer,Shaylyn Pressdee,Calidad,Deportiva,XL,Negro,251,228,276,39,7,6,24,24,11.71,225.97,Tela danada,Materia prima defectuosa,0.0,0.0514,0.0,Bajo
3/15/2026,Planta A,L9,Dia,Brendon Mortimer,Eryn Ensley,Acabado,Premium,S,Azul,271,54,222,44,8,12,51,50,10.4,695.2,Medida incorrecta,Error humano,0.0,0.1926,1.0,Bajo
3/24/2026,Planta A,L6,Tarde,Sibyl Schust,Ricca Mayoh,Costura,Premium,M,Negro,169,209,456,33,7,20,24,10,26.2,663.4,Costura defectuosa,Falla maquina,0.0,0.1254,0.0,Bajo
3/27/2026,Planta C,L7,Dia,Franciska Wandrey,Jo ann Scanlan,Corte,Deportiva,L,Negro,250,187,126,107,6,19,45,15,38.37,1085.22,Medida incorrecta,Proceso ineficiente,0.0,0.2052,1.0,Critico
3/11/2026,Planta A,L7,Tarde,Quincey McDonnell,Ray Ghiron,Corte,Basica,M,Rojo,325,63,270,77,6,10,81,20,7.46,854.76,Corte incorrecto,Error humano,0.0,0.1184,1.0,Bajo
3/13/2026,Planta B,L3,Noche,Hettie Tethacot,Preston Salzen,Acabado,Deportiva,L,Rojo,278,293,356,105,3,23,73,44,24.65,1752.95,Tela danada,Proceso ineficiente,0.0,0.0841,0.0,Critico
3/6/2026,Planta B,L1,Noche,Caron Addicott,Jasun Romanetti,Corte,Premium,L,Blanco,224,245,87,66,8,8,47,22,76.45,987.6,Medida incorrecta,Materia prima defectuosa,0.0,0.312,2.0,Bajo
3/21/2026,Planta A,L5,Dia,Arlie Rickersey,Kassandra Benam,Acabado,Premium,S,Negro,117,291,254,28,8,19,6,15,34.05,386.4,Medida incorrecta,Proceso ineficiente,0.0,0.117,0.0,Bajo
3/3/2026,Planta B,L8,Dia,Hynda Bullon,Nance Guittet,Costura,Basica,M,Gris,265,102,211,56,3,24,46,29,12.65,1141.95,Costura defectuosa,Proceso ineficiente,0.0,0.124,1.0,Bajo
3/7/2026,Planta B,L8,Noche,Steve Van,Jarad Feek,Costura,Deportiva,L,Rojo,135,95,203,13,4,10,52,26,14.53,578.12,Tela danada,Falla maquina,0.0,0.1529,0.0,Bajo
3/26/2026,Planta A,L1,Tarde,Raimundo Jaher,Arel Curds,Corte,Deportiva,S,Blanco,202,214,473,65,3,10,19,23,38.17,304.51,Medida incorrecta,Materia prima defectuosa,0.0,0.1784,0.0,Bajo
3/26/2026,Planta C,L6,Tarde,Rourke Tissiman,Dietrich Phuprate,Corte,Premium,S,Negro,334,226,177,77,5,13,35,31,54.29,726.45,Mancha,Falla maquina,0.0,0.2402,1.0,Bajo
3/24/2026,Planta A,L5,Noche,Benn Joint,Keslie Infante,Corte,Deportiva,S,Azul,314,87,468,97,3,3,110,32,32.64,427.92,Tela danada,Falla maquina,0.0,0.3752,0.0,Critico
3/27/2026,Planta B,L10,Tarde,Bird Piwall,Korey Dahmel,Calidad,Basica,XL,Rojo,244,179,459,16,5,16,17,14,24.24,393.2,Corte incorrecto,Error humano,0.0,0.1354,0.0,Bajo
3/11/2026,Planta B,L10,Noche,Yvette Heynel,Arlette Brouncker,Acabado,Basica,S,Gris,457,229,291,94,4,19,102,51,18.32,2011.28,Mancha,Materia prima defectuosa,0.0,0.08,1.0,Critico
3/6/2026,Planta B,L5,Tarde,Edita Diable,Frayda Shergold,Calidad,Deportiva,L,Rojo,354,285,462,96,4,25,53,30,51.14,1529.56,Mancha,Proceso ineficiente,0.0,0.1794,0.0,Critico
3/21/2026,Planta B,L8,Noche,Garnette Ledger,Christine Bohlin,Acabado,Basica,S,Gris,140,298,63,110,6,23,38,21,9.71,932.26,Medida incorrecta,Falla maquina,0.0,0.0326,2.0,Critico
3/8/2026,Planta C,L1,Tarde,Albina Shorter,Rees Toolan,Costura,Basica,M,Blanco,340,60,157,58,2,8,53,68,6.04,436.08,Mancha,Falla maquina,0.0,0.1007,2.0,Bajo
3/2/2026,Planta A,L8,Noche,Gretel Grasser,Eada Pole,Acabado,Deportiva,XL,Azul,141,299,143,84,2,12,43,15,28.39,572.78,Corte incorrecto,Materia prima defectuosa,0.0,0.0949,0.0,Bajo
3/8/2026,Planta B,L1,Noche,Mose Skerratt,Jehu O'Monahan,Costura,Basica,M,Gris,183,77,357,75,4,7,38,16,7.26,295.04,Corte incorrecto,Materia prima defectuosa,0.0,0.0943,0.0,Bajo
3/20/2026,Planta B,L3,Tarde,Loraine Hufton,Wainwright Parham,Costura,Deportiva,M,Azul,481,67,66,21,6,22,30,24,3.94,683.64,Tela danada,Materia prima defectuosa,0.0,0.0588,7.0,Bajo
3/11/2026,Planta A,L9,Tarde,Jennica Loving,Lori Crackett,Costura,Basica,L,Blanco,324,90,173,35,5,5,22,44,3.77,128.85,Tela danada,Error humano,0.0,0.0419,1.0,Bajo
3/6/2026,Planta A,L6,Noche,Timothea Orbell,Garvey MacGiany,Calidad,Deportiva,M,Negro,432,285,358,17,3,9,160,63,41.76,1565.28,Mancha,Falla maquina,0.0,0.1465,1.0,Bajo
3/6/2026,Planta B,L9,Tarde,Gordon Richardet,Meade Barrington,Corte,Basica,L,Rojo,368,176,66,87,4,17,22,49,59.09,610.36,Mancha,Proceso ineficiente,0.0,0.3357,5.0,Bajo
3/1/2026,Planta B,L1,Noche,Elianora Andric,Mirella Jeppensen,Costura,Basica,L,Gris,121,209,476,50,4,18,45,21,31.9,937.6,Mancha,Error humano,0.0,0.1526,0.0,Bajo
3/6/2026,Planta C,L10,Dia,Cindi Jerg,Raimondo Maharey,Acabado,Premium,XL,Rojo,204,169,444,105,8,3,40,24,25.98,327.84,Tela danada,Materia prima defectuosa,0.0,0.1537,0.0,Critico
3/21/2026,Planta B,L7,Dia,Gui Bachelor,Arabelle Baines,Acabado,Basica,XL,Blanco,321,77,147,58,5,19,68,36,2.6,1305.0,Medida incorrecta,Proceso ineficiente,0.0,0.0338,2.0,Bajo
3/21/2026,Planta C,L10,Noche,Donnamarie Bende,Leslie Gosling,Costura,Deportiva,L,Rojo,210,168,341,13,7,10,75,17,19.92,889.44,Mancha,Proceso ineficiente,0.0,0.1186,0.0,Bajo
3/4/2026,Planta A,L1,Dia,Ora Parren,Lonee Lavalle,Calidad,Premium,XL,Blanco,355,56,470,120,2,24,74,34,2.5,1781.0,Medida incorrecta,Proceso ineficiente,0.0,0.0446,0.0,Critico
3/1/2026,Planta A,L4,Noche,Marcella Cabrera,Emmerich Terran,Corte,Basica,XL,Rojo,493,52,441,70,3,4,223,98,11.72,927.16,Medida incorrecta,Proceso ineficiente,0.0,0.2254,1.0,Bajo
3/6/2026,Planta C,L1,Dia,Lyndsay Troutbeck,Rivkah Gauvin,Calidad,Basica,XL,Blanco,187,239,421,117,3,14,26,31,40.35,485.05,Costura defectuosa,Falla maquina,0.0,0.1688,0.0,Critico
3/26/2026,Planta B,L3,Dia,Dag Eskrigg,Sandra Chellam,Calidad,Deportiva,L,Negro,258,65,319,50,2,21,58,23,3.4,1224.8,Mancha,Falla maquina,0.0,0.0523,0.0,Bajo
3/7/2026,Planta B,L3,Tarde,Melamie Cheales,Clea Lightfoot,Costura,Deportiva,XL,Azul,406,146,196,49,8,19,96,37,25.73,2029.84,Corte incorrecto,Error humano,0.0,0.1762,2.0,Critico
3/3/2026,Planta A,L3,Dia,Zabrina Grisedale,Stanwood Eatherton,Calidad,Premium,L,Blanco,466,66,69,117,2,19,105,75,8.01,2011.02,Corte incorrecto,Materia prima defectuosa,0.0,0.1214,6.0,Critico
3/21/2026,Planta C,L9,Dia,Wendie Demcik,Janina Clingoe,Calidad,Deportiva,L,Azul,245,94,444,58,7,13,41,37,17.15,653.05,Mancha,Materia prima defectuosa,0.0,0.1824,0.0,Bajo
3/9/2026,Planta A,L4,Dia,Patrick O' Gara,Jessi Ferrolli,Acabado,Deportiva,S,Negro,344,71,308,87,4,5,65,38,9.97,364.88,Medida incorrecta,Materia prima defectuosa,0.0,0.1404,1.0,Bajo
3/12/2026,Planta C,L8,Tarde,Sid Antliff,Hetty Tuxwell,Costura,Deportiva,XL,Blanco,150,52,144,52,6,17,27,11,2.41,473.46,Costura defectuosa,Materia prima defectuosa,0.0,0.0463,1.0,Bajo
3/27/2026,Planta C,L5,Dia,Brad Leeb,Tonie Aymes,Calidad,Premium,L,Negro,460,279,306,55,6,14,33,52,48.12,750.72,Corte incorrecto,Error humano,0.0,0.1725,1.0,Bajo
3/3/2026,Planta B,L2,Noche,Kenny Bussell,Will Drever,Corte,Basica,M,Blanco,454,273,93,67,2,11,197,78,106.91,2380.82,Tela danada,Falla maquina,0.0,0.3916,4.0,Critico
3/16/2026,Planta C,L8,Dia,Gibby Bowcock,Lorena Treadaway,Acabado,Premium,S,Negro,479,230,181,56,4,24,111,65,41.96,2831.84,Mancha,Proceso ineficiente,0.0,0.1824,2.0,Critico
3/9/2026,Planta B,L1,Noche,Jo-ann Gregoraci,Daryl Wickett,Calidad,Deportiva,XL,Azul,141,231,348,78,6,4,63,28,42.68,508.08,Tela danada,Falla maquina,0.0,0.1848,0.0,Bajo
3/30/2026,Planta A,L1,Tarde,Minna MacKenney,Bjorn Pearn,Corte,Basica,XL,Gris,402,216,303,95,6,16,47,58,57.99,1099.94,Medida incorrecta,Falla maquina,0.0,0.2685,1.0,Critico
3/10/2026,Planta C,L2,Dia,Austin Raeburn,Sidonnie Ovesen,Acabado,Premium,XL,Blanco,316,82,157,88,5,14,30,40,14.91,494.55,Tela danada,Proceso ineficiente,0.0,0.1818,2.0,Bajo
3/14/2026,Planta B,L8,Dia,Aile Agnolo,Neysa Ivatt,Calidad,Premium,S,Blanco,320,128,233,81,7,11,69,50,24.66,931.62,Corte incorrecto,Falla maquina,0.0,0.1927,1.0,Bajo
3/7/2026,Planta C,L8,Noche,Osmund Newcom,Belia Fishlock,Acabado,Deportiva,L,Negro,187,120,430,118,8,3,69,37,7.89,270.12,Costura defectuosa,Falla maquina,0.0,0.0658,0.0,Critico
3/2/2026,Planta B,L3,Noche,Colleen Ludman,Fredrick Bennion,Acabado,Basica,M,Negro,116,239,208,78,6,5,42,19,46.99,491.94,Tela danada,Materia prima defectuosa,0.0,0.1966,0.0,Bajo
3/10/2026,Planta B,L9,Dia,Kyla Punyer,Chen Ecles,Calidad,Deportiva,XL,Negro,230,209,66,50,6,13,19,35,39.31,482.86,Corte incorrecto,Falla maquina,0.0,0.1881,3.0,Bajo
3/24/2026,Planta A,L5,Tarde,Aurilia Clayworth,Gerik Mallinar,Acabado,Basica,M,Blanco,202,94,145,37,4,4,26,39,16.29,169.16,Mancha,Falla maquina,0.0,0.1733,1.0,Bajo
3/23/2026,Planta C,L10,Dia,Agnesse Dincke,Michal Heatlie,Acabado,Premium,XL,Blanco,299,189,180,49,2,20,46,34,16.34,952.68,Tela danada,Proceso ineficiente,0.0,0.0865,1.0,Bajo
3/1/2026,Planta A,L6,Tarde,Trude Van den Hof,Keane Fosdyke,Costura,Premium,S,Rojo,340,272,213,20,6,11,22,38,17.11,344.66,Mancha,Falla maquina,0.0,0.0629,1.0,Bajo
3/5/2026,Planta B,L10,Noche,Annadiane McDiarmid,Jozef Dyke,Acabado,Deportiva,XL,Negro,136,234,158,99,3,19,30,19,14.83,614.49,Costura defectuosa,Falla maquina,0.0,0.0634,0.0,Critico
3/5/2026,Planta C,L3,Noche,Crysta Fayter,Fin Gerring,Costura,Premium,M,Gris,325,100,185,25,5,22,90,50,12.91,2044.55,Tela danada,Materia prima defectuosa,0.0,0.1291,1.0,Critico
3/27/2026,Planta C,L1,Dia,Sholom Twidle,Abbye Pentycross,Corte,Deportiva,XL,Blanco,496,214,282,30,7,21,56,90,80.1,1736.7,Costura defectuosa,Falla maquina,0.0,0.3743,1.0,Bajo
3/6/2026,Planta C,L8,Dia,Hynda Ammer,Munmro Drennan,Costura,Premium,XL,Gris,471,281,317,59,2,8,91,56,34.12,796.24,Tela danada,Materia prima defectuosa,0.0,0.1214,1.0,Bajo
3/26/2026,Planta B,L1,Noche,Conni Geyton,Terrie Brazear,Acabado,Basica,M,Azul,227,245,389,38,7,18,86,12,20.39,1690.73,Mancha,Proceso ineficiente,0.0,0.0832,0.0,Bajo
3/30/2026,Planta C,L2,Noche,Alex Roughan,Jojo Greiser,Corte,Premium,M,Azul,130,140,384,54,6,25,48,16,36.49,1418.94,Costura defectuosa,Falla maquina,0.0,0.2606,0.0,Bajo
3/28/2026,Planta B,L1,Noche,Penny Schulze,Sanson Newall,Acabado,Premium,M,Blanco,356,293,316,36,8,25,165,25,29.65,4362.2,Costura defectuosa,Falla maquina,0.0,0.1012,1.0,Critico
3/13/2026,Planta C,L2,Noche,Hagen Donnell,Sarajane Szymanowski,Costura,Basica,XL,Gris,463,138,446,34,7,23,130,24,6.12,3032.84,Tela danada,Falla maquina,0.0,0.0443,1.0,Critico
3/17/2026,Planta B,L6,Tarde,Chip Leipnik,Susanna Ashard,Costura,Premium,XL,Negro,275,275,302,88,4,23,56,54,38.43,1441.72,Costura defectuosa,Proceso ineficiente,0.0,0.1397,0.0,Bajo
3/2/2026,Planta A,L3,Noche,Aeriela Cowderoy,Anne-marie Reedshaw,Calidad,Deportiva,XL,Blanco,336,174,412,22,2,23,108,63,18.96,2521.92,Corte incorrecto,Falla maquina,0.0,0.109,0.0,Critico
3/25/2026,Planta A,L6,Dia,Winna Burnhill,Cherlyn Loffhead,Calidad,Basica,XL,Rojo,353,109,229,30,8,15,55,49,19.76,983.08,Corte incorrecto,Error humano,0.0,0.1813,1.0,Bajo
3/14/2026,Planta C,L6,Dia,Reade Chirm,Murielle Peacher,Corte,Premium,L,Azul,470,141,340,32,6,15,91,89,33.95,1568.7,Tela danada,Error humano,0.0,0.2408,1.0,Bajo
3/4/2026,Planta B,L7,Noche,Tasia Turfus,Aviva Manis,Costura,Deportiva,S,Rojo,88,209,168,108,3,18,20,11,31.86,455.58,Tela danada,Error humano,0.0,0.1524,0.0,Critico
3/21/2026,Planta C,L2,Noche,Horacio James,Denice Sykes,Corte,Deportiva,XL,Negro,133,84,69,103,4,11,37,12,31.69,533.76,Costura defectuosa,Error humano,0.0,0.3773,1.0,Critico
3/26/2026,Planta B,L7,Tarde,Sayre Nund,Homer Dorricott,Calidad,Basica,L,Rojo,234,221,403,34,3,7,57,14,38.01,513.03,Mancha,Materia prima defectuosa,0.0,0.172,0.0,Bajo
